assertion,grade_map,k_ratio,case,p_any,combined_absolute_probability,reference_value,difference,passed
mode_split_combined_absolute_invariant,Moderate,0.25,25k_plus_25k_vs_50k,0.6666666666666666,0.6666666666666665,0.6666666666666666,-1.1102230246251565e-16,True
none_addition_invariant,Moderate,0.25,two_none_categories,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
technical_split_p_any_invariant,Moderate,0.5,unsplit,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
technical_split_p_any_invariant,Moderate,0.5,50k_plus_50k,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
technical_split_p_any_invariant,Moderate,0.5,10x10k,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
technical_split_p_any_invariant,Moderate,0.5,100x1k,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
mode_split_p_any_invariant,Moderate,0.5,25k_plus_25k_vs_50k,0.5,0.5,0.5,0.0,True
mode_split_combined_absolute_invariant,Moderate,0.5,25k_plus_25k_vs_50k,0.5,0.5,0.5,0.0,True
none_addition_invariant,Moderate,0.5,two_none_categories,0.5,0.5,0.5,0.0,True
technical_split_p_any_invariant,Moderate,1.0,unsplit,0.5,0.5,0.5,0.0,True
technical_split_p_any_invariant,Moderate,1.0,50k_plus_50k,0.5,0.5,0.5,0.0,True
technical_split_p_any_invariant,Moderate,1.0,10x10k,0.5,0.5,0.5,0.0,True
technical_split_p_any_invariant,Moderate,1.0,100x1k,0.5,0.5,0.5,0.0,True
mode_split_p_any_invariant,Moderate,1.0,25k_plus_25k_vs_50k,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
mode_split_combined_absolute_invariant,Moderate,1.0,25k_plus_25k_vs_50k,0.3333333333333333,0.33333333333333326,0.3333333333333333,-5.551115123125783e-17,True
none_addition_invariant,Moderate,1.0,two_none_categories,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
technical_split_p_any_invariant,Moderate,2.0,unsplit,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
technical_split_p_any_invariant,Moderate,2.0,50k_plus_50k,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
technical_split_p_any_invariant,Moderate,2.0,10x10k,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
technical_split_p_any_invariant,Moderate,2.0,100x1k,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
mode_split_p_any_invariant,Moderate,2.0,25k_plus_25k_vs_50k,0.2,0.2,0.2,0.0,True
mode_split_combined_absolute_invariant,Moderate,2.0,25k_plus_25k_vs_50k,0.2,0.2,0.2,0.0,True
none_addition_invariant,Moderate,2.0,two_none_categories,0.2,0.2,0.2,0.0,True
technical_split_p_any_invariant,Moderate,4.0,unsplit,0.2,0.2,0.2,0.0,True
technical_split_p_any_invariant,Moderate,4.0,50k_plus_50k,0.2,0.2,0.2,0.0,True
technical_split_p_any_invariant,Moderate,4.0,10x10k,0.2,0.2,0.2,0.0,True
technical_split_p_any_invariant,Moderate,4.0,100x1k,0.2,0.2,0.2,0.0,True
mode_split_p_any_invariant,Moderate,4.0,25k_plus_25k_vs_50k,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
mode_split_combined_absolute_invariant,Moderate,4.0,25k_plus_25k_vs_50k,0.1111111111111111,0.11111111111111112,0.1111111111111111,1.3877787807814457e-17,True
none_addition_invariant,Moderate,4.0,two_none_categories,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
technical_split_p_any_invariant,Moderate,8.0,unsplit,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
technical_split_p_any_invariant,Moderate,8.0,50k_plus_50k,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
technical_split_p_any_invariant,Moderate,8.0,10x10k,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
technical_split_p_any_invariant,Moderate,8.0,100x1k,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
mode_split_p_any_invariant,Moderate,8.0,25k_plus_25k_vs_50k,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,True
mode_split_combined_absolute_invariant,Moderate,8.0,25k_plus_25k_vs_50k,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,True
none_addition_invariant,Moderate,8.0,two_none_categories,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,True
technical_split_p_any_invariant,Wide,0.25,unsplit,0.8,0.8,0.8,0.0,True
technical_split_p_any_invariant,Wide,0.25,50k_plus_50k,0.8,0.8,0.8,0.0,True
technical_split_p_any_invariant,Wide,0.25,10x10k,0.8,0.8,0.8,0.0,True
technical_split_p_any_invariant,Wide,0.25,100x1k,0.8,0.8,0.8,0.0,True
mode_split_p_any_invariant,Wide,0.25,25k_plus_25k_vs_50k,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
mode_split_combined_absolute_invariant,Wide,0.25,25k_plus_25k_vs_50k,0.6666666666666666,0.6666666666666665,0.6666666666666666,-1.1102230246251565e-16,True
none_addition_invariant,Wide,0.25,two_none_categories,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
technical_split_p_any_invariant,Wide,0.5,unsplit,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
technical_split_p_any_invariant,Wide,0.5,50k_plus_50k,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
technical_split_p_any_invariant,Wide,0.5,10x10k,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
technical_split_p_any_invariant,Wide,0.5,100x1k,0.6666666666666666,0.6666666666666665,0.6666666666666666,0.0,True
mode_split_p_any_invariant,Wide,0.5,25k_plus_25k_vs_50k,0.5,0.5,0.5,0.0,True
mode_split_combined_absolute_invariant,Wide,0.5,25k_plus_25k_vs_50k,0.5,0.5,0.5,0.0,True
none_addition_invariant,Wide,0.5,two_none_categories,0.5,0.5,0.5,0.0,True
technical_split_p_any_invariant,Wide,1.0,unsplit,0.5,0.5,0.5,0.0,True
technical_split_p_any_invariant,Wide,1.0,50k_plus_50k,0.5,0.5,0.5,0.0,True
technical_split_p_any_invariant,Wide,1.0,10x10k,0.5,0.5,0.5,0.0,True
technical_split_p_any_invariant,Wide,1.0,100x1k,0.5,0.5,0.5,0.0,True
mode_split_p_any_invariant,Wide,1.0,25k_plus_25k_vs_50k,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
mode_split_combined_absolute_invariant,Wide,1.0,25k_plus_25k_vs_50k,0.3333333333333333,0.33333333333333326,0.3333333333333333,-5.551115123125783e-17,True
none_addition_invariant,Wide,1.0,two_none_categories,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
technical_split_p_any_invariant,Wide,2.0,unsplit,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
technical_split_p_any_invariant,Wide,2.0,50k_plus_50k,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
technical_split_p_any_invariant,Wide,2.0,10x10k,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
technical_split_p_any_invariant,Wide,2.0,100x1k,0.3333333333333333,0.33333333333333326,0.3333333333333333,0.0,True
mode_split_p_any_invariant,Wide,2.0,25k_plus_25k_vs_50k,0.2,0.2,0.2,0.0,True
mode_split_combined_absolute_invariant,Wide,2.0,25k_plus_25k_vs_50k,0.2,0.2,0.2,0.0,True
none_addition_invariant,Wide,2.0,two_none_categories,0.2,0.2,0.2,0.0,True
technical_split_p_any_invariant,Wide,4.0,unsplit,0.2,0.2,0.2,0.0,True
technical_split_p_any_invariant,Wide,4.0,50k_plus_50k,0.2,0.2,0.2,0.0,True
technical_split_p_any_invariant,Wide,4.0,10x10k,0.2,0.2,0.2,0.0,True
